plot_id,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
1,2,3,4,7,5,6,7,6,4,3,7,6,8,7,7,5,5,6,5,5,7,5,5,5,4,6
2,6,6,6,8,5,9,9,9,6,4,9,7,9,8,8,8,8,5,6,7,7,5,6,7,7,7
3,5,6,4,6,6,8,10,11,7,6,8,9,9,10,9,8,6,5,6,7,8,7,5,4,5,5
4,4,4,3,4,5,4,6,3,4,3,7,7,6,2,8,4,3,3,4,6,8,4,4,5,5,5
5,4,3,2,5,4,6,7,7,3,1,7,8,9,7,6,6,4,5,8,7,6,6,3,3,2,4
6,3,4,3,4,5,9,9,7,5,6,6,8,7,10,5,5,5,4,7,6,10,5,5,4,5,9
7,3,1,3,1,1,4,2,3,4,3,6,3,4,3,5,7,4,4,5,4,5,4,3,4,6,5
8,2,4,3,5,6,6,4,6,4,3,10,7,6,4,5,4,4,6,6,6,6,4,5,3,4,3
9,3,3,3,4,5,6,7,4,5,3,7,7,7,5,5,7,2,4,5,7,8,7,3,7,5,7
10,1,NA,2,5,5,8,4,2,3,1,4,5,2,2,4,1,1,2,3,2,3,2,1,2,NA,2
11,5,6,5,6,8,8,9,7,5,6,11,10,8,5,6,10,4,2,6,7,7,5,5,3,5,8
12,5,4,4,5,7,10,9,9,8,7,10,7,9,9,10,8,7,3,7,9,8,6,7,6,5,7
13,3,6,5,6,5,7,7,6,4,8,10,9,8,6,9,10,9,6,8,8,6,6,3,3,4,8
14,3,5,4,3,6,9,6,6,7,5,8,9,9,5,5,6,6,4,5,6,8,7,4,4,8,7
15,2,5,5,4,9,8,8,8,5,5,9,7,6,7,8,4,6,5,7,6,8,7,4,6,5,8
16,3,2,2,3,3,8,5,3,4,7,4,4,3,2,2,3,5,3,4,5,5,6,3,6,5,7
17,4,6,4,6,7,6,8,6,6,5,7,9,8,6,7,6,7,4,7,7,8,7,6,4,7,6
18,2,7,4,6,4,9,5,5,5,6,6,7,7,8,9,5,5,4,4,3,7,4,4,7,5,6
19,4,4,5,7,6,7,6,4,8,4,4,6,9,7,10,7,5,4,4,5,5,5,4,2,7,8
20,3,6,6,7,8,10,9,6,5,7,8,9,7,8,11,8,6,6,8,6,7,8,6,4,9,7
21,3,4,4,6,6,7,8,4,7,5,4,6,6,5,6,5,4,3,4,6,6,8,6,1,3,3
22,4,4,3,6,4,5,7,5,7,4,6,7,6,4,9,5,4,3,7,4,7,5,3,3,5,5
23,1,NA,2,4,4,9,5,5,3,5,5,8,6,5,3,2,3,2,5,5,4,2,4,2,6,5
24,NA,NA,4,6,5,7,9,6,8,5,9,7,8,6,7,5,4,4,3,3,6,5,4,6,8,6
